concello;objectid;ua_teselas;ua_tesel_1;ua;hectares;grupoua;shape_leng;tabla_anex;tabla_an_1;cobertura;cod_tipo;codanexoi;cod_anexoi;p;anexoi_gal;shape_leng.1;Unnamed: 17
Pontes de García Rodríguez; As;29313;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29388;ES1110013.0378;1;S;8230;8230;;Rochedos silíceos con vexetación pioneira;32090.9651
Pontes de García Rodríguez; As;29314;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29387;ES1110013.0378;1;S;3260;3260;;Ríos dos pisos basal a montano;32090.9651
Pontes de García Rodríguez; As;29315;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29386;ES1110013.0378;1;V;7120;7120;;Turbeiras altas degradadas;32090.9651
Pontes de García Rodríguez; As;29316;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29384;ES1110013.0378;1;V;3130;3130;;Augas oligotróficas ou mesotróficas;32090.9651
Pontes de García Rodríguez; As;29317;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29383;ES1110013.0378;1;V;7140;7140;;Turbeiras de transición e inllós;32090.9651
Pontes de García Rodríguez; As;29318;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29382;ES1110013.0378;1;V;7110*;7110;X;Turbeiras altas activas;32090.9651
Pontes de García Rodríguez; As;29319;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29381;ES1110013.0378;1;V;6410;6410;;Prados con Molinia;32090.9651
Pontes de García Rodríguez; As;29320;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29380;ES1110013.0378;1;V;6230*;6230;X;Formacións herbáceas con Nardus;32090.9651
Pontes de García Rodríguez; As;29321;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29378;ES1110013.0378;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;32090.9651
Pontes de García Rodríguez; As;29322;25810;ES1110013.0378;UA270;554.1460669;UA200;32090.9651;29379;ES1110013.0378;1;V;7150;7150;;Depresións sobre sustratos turbosos do Rhynchosporion;32090.9651
